Data,Feriado
2001-01-01 00:00:00,confraternizacao universal
2001-02-26 00:00:00,carnaval
2001-02-27 00:00:00,carnaval
2001-04-13 00:00:00,paixao de cristo
2001-04-21 00:00:00,tiradentes
2001-05-01 00:00:00,dia do trabalho
2001-06-14 00:00:00,corpus christi
2001-09-07 00:00:00,independencia do brasil
2001-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2001-11-02 00:00:00,finados
2001-11-15 00:00:00,proclamacao da republica
2001-12-25 00:00:00,natal
2002-01-01 00:00:00,confraternizacao universal
2002-02-11 00:00:00,carnaval
2002-02-12 00:00:00,carnaval
2002-03-29 00:00:00,paixao de cristo
2002-04-21 00:00:00,tiradentes
2002-05-01 00:00:00,dia do trabalho
2002-05-30 00:00:00,corpus christi
2002-09-07 00:00:00,independencia do brasil
2002-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2002-11-02 00:00:00,finados
2002-11-15 00:00:00,proclamacao da republica
2002-12-25 00:00:00,natal
2003-01-01 00:00:00,confraternizacao universal
2003-03-03 00:00:00,carnaval
2003-03-04 00:00:00,carnaval
2003-04-18 00:00:00,paixao de cristo
2003-04-21 00:00:00,tiradentes
2003-05-01 00:00:00,dia do trabalho
2003-06-19 00:00:00,corpus christi
2003-09-07 00:00:00,independencia do brasil
2003-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2003-11-02 00:00:00,finados
2003-11-15 00:00:00,proclamacao da republica
2003-12-25 00:00:00,natal
2004-01-01 00:00:00,confraternizacao universal
2004-02-23 00:00:00,carnaval
2004-02-24 00:00:00,carnaval
2004-04-09 00:00:00,paixao de cristo
2004-04-21 00:00:00,tiradentes
2004-05-01 00:00:00,dia do trabalho
2004-06-10 00:00:00,corpus christi
2004-09-07 00:00:00,independencia do brasil
2004-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2004-11-02 00:00:00,finados
2004-11-15 00:00:00,proclamacao da republica
2004-12-25 00:00:00,natal
2005-01-01 00:00:00,confraternizacao universal
2005-02-07 00:00:00,carnaval
2005-02-08 00:00:00,carnaval
2005-03-25 00:00:00,paixao de cristo
2005-04-21 00:00:00,tiradentes
2005-05-01 00:00:00,dia do trabalho
2005-05-26 00:00:00,corpus christi
2005-09-07 00:00:00,independencia do brasil
2005-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2005-11-02 00:00:00,finados
2005-11-15 00:00:00,proclamacao da republica
2005-12-25 00:00:00,natal
2006-01-01 00:00:00,confraternizacao universal
2006-02-27 00:00:00,carnaval
2006-02-28 00:00:00,carnaval
2006-04-14 00:00:00,paixao de cristo
2006-04-21 00:00:00,tiradentes
